"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","85461","Login page title test","chromium","2026-09-02","broken","2026-09-02","","loginpage.spec.ts","",""
"","85619","@smoke Home page title test","chromium","2026-09-02","broken","2026-09-02","","homepagefixture.spec.ts","",""
"","85509","Logout link exist test","chromium","2026-09-02","broken","2026-09-02","","homepage.spec.ts","",""
"","355","GET -- get all user","chromium","2026-09-02","passed","2026-09-02","","api/users.api.schema.spec.ts","",""
"","1666","Put API - update a user","chromium","2026-09-02","passed","2026-09-02","","api/users.api.indi.spec.ts","",""
"","1634","POST- Create a user","chromium","2026-09-02","passed","2026-09-02","","api/users.api.indi.spec.ts","",""
"","80190","Home page headers exist test","chromium","2026-09-02","broken","2026-09-02","","homepagefixture.spec.ts","",""
"","343","Delete API - delete the user","chromium","2026-09-02","passed","2026-09-02","Running e2e go rest crud API tests","api/users.api.sep.spec.ts","",""
"","339","Post user test","chromium","2026-09-02","passed","2026-09-02","","api/users.api.spec.ts","",""
"","85468","Logout link exist test","chromium","2026-09-02","broken","2026-09-02","","homepagefixture.spec.ts","",""
"","355","get user test","chromium","2026-09-02","passed","2026-09-02","","api/users.api.spec.ts","",""
"","689","Update user test","chromium","2026-09-02","passed","2026-09-02","","api/users.api.spec.ts","",""
"","80178","Home page title test","chromium","2026-09-02","broken","2026-09-02","","homepage.spec.ts","",""
"","350","Get API - get all users","chromium","2026-09-02","passed","2026-09-02","Running e2e go rest crud API tests","api/users.api.sep.spec.ts","",""
"","995","Delete API - delete a user","chromium","2026-09-02","passed","2026-09-02","","api/users.api.indi.spec.ts","",""
"","80185","Home page headers exist test","chromium","2026-09-02","broken","2026-09-02","","homepage.spec.ts","",""
"","85477","ForgetPassword link exist test","chromium","2026-09-02","broken","2026-09-02","","loginpage.spec.ts","",""
"","675","Delete user test","chromium","2026-09-02","passed","2026-09-02","","api/users.api.spec.ts","",""
"","709","GET -- get the user","chromium","2026-09-02","passed","2026-09-02","","api/users.api.schema.spec.ts","",""
"","3","GET -- get artist search data","chromium","2026-09-02","skipped","2026-09-02","","api/spotify.oauth2.spec.ts","",""
"","336","Post API - create a new user","chromium","2026-09-02","passed","2026-09-02","Running e2e go rest crud API tests","api/users.api.sep.spec.ts","",""
"","348","Put API - update the user","chromium","2026-09-02","passed","2026-09-02","Running e2e go rest crud API tests","api/users.api.sep.spec.ts","",""
